Name,StudentID,FailedSubjects,FailedCount
Alice,1000001,"History, Physics",2
Bob,1000002,"Chinese, Math, Chemistry",3
Charlie,1000003,"History, Physics",2
David,1000004,"Chinese, English, Geography, Chemistry",4
Eve,1000005,Math,1
Frank,1000006,"Chinese, English, Math, History, Geography, Chemistry",6
Helen,1000008,"English, Geography, Physics, Chemistry",4
Jack,1000010,"Chinese, Math, History, Physics",4
Nina,1000014,"Chinese, English, Math, History, Physics, Chemistry",6
Paul,1000016,"Chinese, Math, Physics, Chemistry",4
Ray,1000018,"Chinese, English, History, Geography, Chemistry",5
Tom,1000020,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Vera,1000022,Math,1
Xena,1000024,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Zack,1000026,"Chinese, Math",2
Ben,1000028,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Derek,1000030,"Chinese, Math, Physics",3
Finn,1000032,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Hank,1000034,"Chinese, Math, History, Physics",4
John,1000036,"Chinese, English, Math, History, Physics",5
Leo,1000038,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Nick,1000040,Math,1
Pete,1000042,"Chinese, English, Math, History, Geography, Physics, Chemistry",7
Rita,1000044,"Chinese, Math, Physics",3
Tina,1000046,"Chinese, Math",2
Wade,1000048,"Chinese, English, Math, History, Geography, Physics",6
Zoe,1000050,"Chinese, Math, History, Physics",4
David,1000004,More than half subjects failed,4
Frank,1000006,More than half subjects failed,6
Helen,1000008,More than half subjects failed,4
Jack,1000010,More than half subjects failed,4
Nina,1000014,More than half subjects failed,6
Paul,1000016,More than half subjects failed,4
Ray,1000018,More than half subjects failed,5
Tom,1000020,More than half subjects failed,7
Xena,1000024,More than half subjects failed,7
Ben,1000028,More than half subjects failed,7
Finn,1000032,More than half subjects failed,7
Hank,1000034,More than half subjects failed,4
John,1000036,More than half subjects failed,5
Leo,1000038,More than half subjects failed,7
Pete,1000042,More than half subjects failed,7
Wade,1000048,More than half subjects failed,6
Zoe,1000050,More than half subjects failed,4
